zip,lat,lon,county_fips,state,county_name
00601,18.18055,-66.74996,72001,PR,Adjuntas Municipio
00602,18.36194,-67.17560,72003,PR,Aguada Municipio
00603,18.45740,-67.12487,72005,PR,Aguadilla Municipio
00606,18.15833,-66.93293,72093,PR,Maricao Municipio
00610,18.29530,-67.12518,72011,PR,Añasco Municipio
00611,18.27632,-66.80716,72141,PR,Utuado Municipio
00612,18.41673,-66.70009,72013,PR,Arecibo Municipio
00616,18.42041,-66.67199,72013,PR,Arecibo Municipio
00617,18.44689,-66.56115,72017,PR,Barceloneta Municipio
00622,17.98810,-67.16036,72023,PR,Cabo Rojo Municipio
00623,18.08437,-67.15877,72023,PR,Cabo Rojo Municipio
00624,18.05181,-66.72171,72111,PR,Peñuelas Municipio
00627,18.41242,-66.86371,72027,PR,Camuy Municipio
00631,18.18429,-66.83079,72001,PR,Adjuntas Municipio
00636,18.16360,-67.08010,72125,PR,San Germán Municipio
00637,18.08010,-66.94797,72121,PR,Sabana Grande Municipio
00638,18.28019,-66.51311,72039,PR,Ciales Municipio
00641,18.26807,-66.70179,72141,PR,Utuado Municipio
00646,18.43290,-66.28650,72051,PR,Dorado Municipio
00647,17.96361,-66.94713,72055,PR,Guánica Municipio
00650,18.34921,-66.57811,72054,PR,Florida Municipio
00652,18.44845,-66.59411,72013,PR,Arecibo Municipio
00653,17.98864,-66.90169,72055,PR,Guánica Municipio
00656,18.04047,-66.78968,72059,PR,Guayanilla Municipio
00659,18.40730,-66.80899,72065,PR,Hatillo Municipio
00660,18.13470,-67.11620,72067,PR,Hormigueros Municipio
00662,18.46830,-67.01575,72071,PR,Isabela Municipio
00664,18.21033,-66.59162,72073,PR,Jayuya Municipio
00667,18.00342,-67.03581,72079,PR,Lajas Municipio
00669,18.27692,-66.86959,72081,PR,Lares Municipio
00670,18.23359,-66.98758,72083,PR,Las Marías Municipio
00674,18.42414,-66.48789,72091,PR,Manatí Municipio
00676,18.38160,-67.08088,72099,PR,Moca Municipio
00677,18.33257,-67.22702,72117,PR,Rincón Municipio
00678,18.43050,-66.93048,72115,PR,Quebradillas Municipio
00680,18.18349,-67.13305,72097,PR,Mayagüez Municipio
00682,18.22486,-67.15389,72097,PR,Mayagüez Municipio
00683,18.10780,-67.03726,72125,PR,San Germán Municipio
00685,18.33689,-66.97293,72131,PR,San Sebastián Municipio
00687,18.31802,-66.42039,72101,PR,Morovis Municipio
00688,18.38230,-66.62639,72013,PR,Arecibo Municipio
00690,18.49354,-67.09691,72005,PR,Aguadilla Municipio
00692,18.41065,-66.33620,72143,PR,Vega Alta Municipio
00693,18.42596,-66.39810,72145,PR,Vega Baja Municipio
00694,18.48313,-66.39236,72145,PR,Vega Baja Municipio
00698,18.07292,-66.85119,72153,PR,Yauco Municipio
00703,18.24840,-66.13066,72007,PR,Aguas Buenas Municipio
00704,17.97317,-66.22901,72123,PR,Salinas Municipio
00705,18.12896,-66.26669,72009,PR,Aibonito Municipio
00707,18.01405,-65.92075,72095,PR,Maunabo Municipio
00714,17.99587,-66.05553,72015,PR,Arroyo Municipio
00715,17.99048,-66.56614,72113,PR,Ponce Municipio
00716,17.98501,-66.60672,72113,PR,Ponce Municipio
00717,18.00264,-66.61109,72113,PR,Ponce Municipio
00718,18.23201,-65.75604,72103,PR,Naguabo Municipio
00719,18.28992,-66.25344,72105,PR,Naranjito Municipio
00720,18.21661,-66.42368,72107,PR,Orocovis Municipio
00723,18.01934,-66.00186,72109,PR,Patillas Municipio
00725,18.22069,-66.03958,72025,PR,Caguas Municipio
00727,18.21192,-66.07336,72025,PR,Caguas Municipio
00728,17.99107,-66.66297,72113,PR,Ponce Municipio
00729,18.33492,-65.88708,72029,PR,Canóvanas Municipio
00730,18.03088,-66.61193,72113,PR,Ponce Municipio
00731,18.10995,-66.63562,72113,PR,Ponce Municipio
00735,18.25218,-65.66563,72037,PR,Ceiba Municipio
00736,18.10362,-66.15167,72035,PR,Cayey Municipio
00738,18.30446,-65.69871,72053,PR,Fajardo Municipio
00739,18.17554,-66.16210,72041,PR,Cidra Municipio
00740,18.33396,-65.63167,72053,PR,Fajardo Municipio
00741,18.16386,-65.75404,72069,PR,Humacao Municipio
00745,18.35218,-65.81093,72119,PR,Río Grande Municipio
00751,18.00378,-66.26291,72123,PR,Salinas Municipio
00754,18.14458,-65.97225,72129,PR,San Lorenzo Municipio
00757,17.99143,-66.40234,72133,PR,Santa Isabel Municipio
00765,18.12421,-65.42307,72147,PR,Vieques Municipio
00766,18.13072,-66.47224,72149,PR,Villalba Municipio
00767,18.06949,-65.89603,72151,PR,Yabucoa Municipio
00769,18.09664,-66.35833,72043,PR,Coamo Municipio
00771,18.18715,-65.87119,72085,PR,Las Piedras Municipio
00772,18.43894,-65.90522,72087,PR,Loíza Municipio
00773,18.34289,-65.72311,72089,PR,Luquillo Municipio
00775,18.32661,-65.30777,72049,PR,Culebra Municipio
00777,18.22433,-65.90909,72077,PR,Juncos Municipio
00778,18.26408,-65.97851,72063,PR,Gurabo Municipio
00780,18.09408,-66.56578,72113,PR,Ponce Municipio
00782,18.22488,-66.22448,72045,PR,Comerío Municipio
00783,18.30022,-66.32893,72047,PR,Corozal Municipio
00784,18.01071,-66.13362,72057,PR,Guayama Municipio
00786,18.13573,-66.22870,72009,PR,Aibonito Municipio
00791,18.14260,-65.81281,72069,PR,Humacao Municipio
00794,18.20002,-66.30928,72019,PR,Barranquitas Municipio
00795,18.04645,-66.49514,72075,PR,Juana Díaz Municipio
00802,18.34294,-64.92510,78030,VI,St. Thomas Island
00820,17.73663,-64.70821,78010,VI,St. Croix Island
00830,18.33856,-64.73653,78020,VI,St. John Island
00840,17.72471,-64.84852,78010,VI,St. Croix Island
00850,17.72682,-64.79224,78010,VI,St. Croix Island
00851,17.74752,-64.78744,78010,VI,St. Croix Island
00901,18.46659,-66.10798,72127,PR,San Juan Municipio
00906,18.46446,-66.09499,72127,PR,San Juan Municipio
00907,18.45227,-66.08763,72127,PR,San Juan Municipio
00909,18.44125,-66.06877,72127,PR,San Juan Municipio
00911,18.45366,-66.05634,72127,PR,San Juan Municipio
00912,18.44507,-66.05994,72127,PR,San Juan Municipio
00913,18.46463,-66.04459,72127,PR,San Juan Municipio
00915,18.43718,-66.04557,72127,PR,San Juan Municipio
00917,18.42067,-66.05011,72127,PR,San Juan Municipio
00918,18.42225,-66.06908,72127,PR,San Juan Municipio
00920,18.42244,-66.09214,72127,PR,San Juan Municipio
00921,18.39209,-66.08711,72127,PR,San Juan Municipio
00923,18.41080,-66.03736,72127,PR,San Juan Municipio
00924,18.39919,-66.01258,72127,PR,San Juan Municipio
00925,18.40027,-66.05059,72127,PR,San Juan Municipio
00926,18.34860,-66.05393,72127,PR,San Juan Municipio
00927,18.38820,-66.07003,72127,PR,San Juan Municipio
00934,18.41300,-66.11983,72061,PR,Guaynabo Municipio
00949,18.40988,-66.22744,72137,PR,Toa Baja Municipio
00950,18.46722,-66.23793,72051,PR,Dorado Municipio
00951,18.42805,-66.25977,72137,PR,Toa Baja Municipio
00952,18.42872,-66.18893,72137,PR,Toa Baja Municipio
00953,18.36073,-66.25153,72135,PR,Toa Alta Municipio
00956,18.32114,-66.17042,72021,PR,Bayamón Municipio
00957,18.36615,-66.18896,72021,PR,Bayamón Municipio
00959,18.38578,-66.15565,72021,PR,Bayamón Municipio
00960,18.41692,-66.14269,72021,PR,Bayamón Municipio
00961,18.40991,-66.16336,72021,PR,Bayamón Municipio
00962,18.43999,-66.13550,72033,PR,Cataño Municipio
00965,18.43051,-66.11092,72061,PR,Guaynabo Municipio
00966,18.39787,-66.11393,72061,PR,Guaynabo Municipio
00968,18.40606,-66.10123,72061,PR,Guaynabo Municipio
00969,18.36623,-66.11005,72061,PR,Guaynabo Municipio
00971,18.31888,-66.11919,72061,PR,Guaynabo Municipio
00976,18.33618,-65.99410,72139,PR,Trujillo Alto Municipio
00979,18.43836,-65.99917,72031,PR,Carolina Municipio
00982,18.40874,-65.99127,72031,PR,Carolina Municipio
00983,18.41722,-65.98132,72031,PR,Carolina Municipio
00985,18.41077,-65.94793,72031,PR,Carolina Municipio
00987,18.34399,-65.94375,72031,PR,Carolina Municipio
01001,42.06237,-72.62575,25013,MA,Hampden County
01002,42.37721,-72.46479,25015,MA,Hampshire County
01003,42.39188,-72.52358,25015,MA,Hampshire County
01005,42.41888,-72.11208,25027,MA,Worcester County
01007,42.28393,-72.40041,25015,MA,Hampshire County
01008,42.19202,-72.96408,25013,MA,Hampden County
01009,42.21139,-72.34181,25013,MA,Hampden County
01010,42.12818,-72.20535,25013,MA,Hampden County
01011,42.29013,-72.96652,25013,MA,Hampden County
01012,42.37542,-72.85819,25015,MA,Hampshire County
01013,42.14201,-72.59550,25013,MA,Hampden County
01020,42.17261,-72.56192,25013,MA,Hampden County
01022,42.19719,-72.54187,25013,MA,Hampden County
01026,42.47003,-72.92571,25015,MA,Hampshire County
01027,42.29501,-72.75188,25015,MA,Hampshire County
01028,42.06238,-72.49811,25013,MA,Hampden County
